0.532066341 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.539109831 10.0.0.2:34276 10.0.0.1:5001 32 0xa13ed4f5 0xa13e7a75 17 14 237568 93417 29696
0.545005237 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.551331625 10.0.0.2:34276 10.0.0.1:5001 32 0xa13ee045 0xa13e85c5 17 14 237568 93837 29696
0.556229782 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.563117169 10.0.0.2:34276 10.0.0.1:5001 32 0xa13eeb95 0xa13e9115 17 14 237568 94333 29696
0.569040179 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.575456272 10.0.0.2:34276 10.0.0.1:5001 32 0xa13ef6e5 0xa13e9c65 17 14 237568 94534 29696
0.580637697 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.587562794 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f0235 0xa13ea7b5 17 14 237568 94948 29696
0.593534836 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.599793899 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f0d85 0xa13eb305 17 14 237568 95300 29696
0.605509218 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.611775763 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f18d5 0xa13ebe55 17 14 237568 95615 29696
0.616845508 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.623523116 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f2425 0xa13ec9a5 17 14 237568 95765 29696
0.628981104 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.635984744 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f2f75 0xa13ed4f5 17 14 237568 95819 29696
0.641116165 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.647971936 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f3ac5 0xa13ee045 17 14 237568 95965 29696
0.653190276 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.660218172 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f5165 0xa13eeb95 18 14 237568 96060 29696
0.665318126 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.671684576 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f5cb5 0xa13ef6e5 18 14 237568 96208 29696
0.677429372 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.683812810 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f6805 0xa13f0235 18 14 237568 96225 29696
0.689546104 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.695811857 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f7355 0xa13f0d85 18 14 237568 96241 29696
0.702324366 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.721647953 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f7ea5 0xa13f18d5 18 14 237568 96226 29696
0.726621260 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.733001463 10.0.0.2:34276 10.0.0.1:5001 32 0xa13f9545 0xa13f2f75 18 14 237568 97946 29696
0.737991740 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.757202680 10.0.0.2:34276 10.0.0.1:5001 32 0xa13fa095 0xa13f3ac5 18 14 237568 97834 29696
0.762256560 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.768734486 10.0.0.2:34276 10.0.0.1:5001 32 0xa13fb735 0xa13f5165 18 14 237568 99268 29696
0.774359597 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.781503449 10.0.0.2:34276 10.0.0.1:5001 32 0xa13fc285 0xa13f5cb5 18 14 237568 100431 29696
0.786434631 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.792789212 10.0.0.2:34276 10.0.0.1:5001 32 0xa13fcdd5 0xa13f6805 18 14 237568 101619 29696
0.798555810 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.805125252 10.0.0.2:34276 10.0.0.1:5001 32 0xa13fd925 0xa13f7355 18 14 237568 102554 29696
0.810646961 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.817580222 10.0.0.2:34276 10.0.0.1:5001 44 0xa13fe475 0xa13f7ea5 18 14 237568 103413 29696
0.823591424 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.830635502 10.0.0.2:34276 10.0.0.1:5001 44 0xa13fea1d 0xa13f7ea5 17 12 237568 102490 29696
0.835668455 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.842662888 10.0.0.2:34276 10.0.0.1:5001 44 0xa13fea1d 0xa13f7ea5 15 12 237568 101895 29696
0.847695732 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.854382607 10.0.0.2:34276 10.0.0.1:5001 44 0xa13fefc5 0xa13f7ea5 14 12 237568 99851 29696
0.859133606 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.865382387 10.0.0.2:34276 10.0.0.1:5001 52 0xa13fefc5 0xa13f7ea5 12 12 237568 99529 29696
0.871974195 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
