20.767784680 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f80a3 0x5c5f328b 14 12 269824 84140 29696
20.771893383 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.772975529 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f8637 0x5c5f381f 14 12 269824 84461 29696
20.777939234 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.778064493 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f8bcb 0x5c5f3db3 14 12 269824 84525 29696
20.784023296 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.784170440 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f915f 0x5c5f4347 14 12 269824 84457 29696
20.790059114 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.791171595 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f96f3 0x5c5f48db 14 12 269824 84373 29696
20.796775294 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.803043693 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f9c87 0x5c5f4e6f 14 12 269824 84466 29696
20.808223629 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.815322872 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5fa7af 0x5c5f5997 14 12 269824 85143 29696
20.820355277 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.826496432 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5fb2d7 0x5c5f64bf 14 12 269824 85751 29696
20.833462661 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.852483032 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5fbdff 0x5c5f6fe7 14 12 269824 86306 29696
20.857058959 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.863335311 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5fd44f 0x5c5f8637 14 12 269824 88617 29696
20.863419558 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.875531485 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5fdf77 0x5c5f915f 14 12 269824 88841 29696
20.875705575 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.888722813 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5fea9f 0x5c5f9c87 14 12 269824 89164 29696
20.893458979 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.899769744 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5ff5c7 0x5c5fa7af 14 12 269824 88736 29696
20.905143498 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.911264895 10.0.0.2:48357 10.0.0.1:5001 52 0x5c600683 0x5c5fb2d7 15 12 269824 88206 29696
20.917197744 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.918067869 10.0.0.2:48357 10.0.0.1:5001 52 0x5c6011ab 0x5c5fb86b 15 12 269824 87781 29696
20.923253509 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.924165345 10.0.0.2:48357 10.0.0.1:5001 52 0x5c6011ab 0x5c5fb86b 15 12 269824 85007 29696
20.930218041 10.0.0.2:48357 10.0.0.1:5001 52 0x5c60173f 0x5c5fb86b 14 10 269824 83344 29696
20.930345114 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.937314701 10.0.0.2:48357 10.0.0.1:5001 52 0x5c60173f 0x5c5fb86b 14 10 269824 82643 29696
20.941451694 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
20.948283068 10.0.0.2:48357 10.0.0.1:5001 52 0x5c601cd3 0x5c5fb86b 13 10 269824 81567 29696
20.948399680 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 269824
